subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Pangan;Kedelai;Jawa Barat;2026;15,54549083;12414,66667;1;0,346757017;23798,57754;48674,10156;48674,10156;143,3333333;1384,222222;284,6666667;180,4471588;284,6666667;25,89336661;0,006937417;510;26
Pangan;Kedelai;Kalimantan Selatan;2026;16,34304348;840,6666667;1;0,346757017;1583,923583;14,05539227;14,05539227;0;0;0;1119,9375;0;0;0,000230262;1273;20
Pangan;Kedelai;Sumatera Barat;2026;11,17666667;6,333333333;1;0,346757017;10,27621222;-1159,328491;-1159,328491;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Ketela Pohon;Jawa Barat;2026;297,5165867;41054,66667;4;0,438814965;1205616,776;1148451;1148451;28,66666667;191;280,3333333;-932,1795654;280,3333333;-3351,789182;0,006824645;517;27
Pangan;Ketela Pohon;Kalimantan Selatan;2026;333,8342976;967,6666667;4;0,438814965;27684,94192;22964,18164;22964,18164;0;133,3333333;0;-452,0211792;0;0;0,000158798;1298;21
Pangan;Ketela Pohon;Sumatera Barat;2026;367,8709265;2877,666667;4;0,438814965;113872,6886;134361,9063;134361,9063;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Padi;Jawa Barat;2026;58,14977704;1604772,777;2;0,328661521;9290229,033;10132658;10132658;22,33333333;79,33333333;249,4444444;-1019,753906;249,4444444;-4666,062267;0,006076316;547;28
Pangan;Padi;Kalimantan Selatan;2026;41,1042245;250242,8957;3;0,328661521;1204121,182;1152373,875;1152373,875;0;0;0;-448,2593994;0;0;0,000156684;1302;22
Pangan;Padi;Sumatera Barat;2026;47,9782804;293306,4459;3;0,328661521;1401435,15;1423459,375;1423459,375;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Perkebunan;Tembakau;Jawa Barat;2026;944,5555557;9023;1;0,486837436;8374,810083;10260,8418;10260,8418;261,3333333;327;1176,555556;837,6602173;1176,555556;220,5332464;0,028147078;169;1
