subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Pangan;Kacang Hijau;Papua;2026;4,31942029;34;1;0,506440493;30,51130612;-552,9154663;-552,9154663;0;0;0;-448,2593994;0;0;0,000156684;1302;25
Pangan;Kacang Hijau;Papua Barat;2026;2;2;1;0,506440493;1,633723333;-1541,706909;-1541,706909;4;0;0;-453,554718;0;-11438,86795;0,000156436;1310;28
Pangan;Kacang Hijau;Riau;2026;11,03372549;63,66666667;1;0,506440493;65,03069954;240,2785797;240,2785797;139856,6667;186242;1339;128671,7813;1339;-7,997391675;0,050075137;87;7
Pangan;Kacang Hijau;Sulawesi Barat;2026;8,633613054;269,6666667;1;0,506440493;221,8748587;-279,9416809;-279,9416809;20996,33333;38430,33333;1356;23010,1582;1356;9,591316911;0,033405294;136;14
Pangan;Kacang Hijau;Sulawesi Selatan;2026;11,15364325;3434,666667;1;0,506440493;3237,050611;4131,173828;4131,173828;196,6666667;792;508,8888889;-491,3642273;508,8888889;-349,8462173;0,01233484;368;21
Pangan;Kacang Hijau;Sulawesi Tengah;2026;8,239232915;246;1;0,506440493;268,7159665;-352,789917;-352,789917;0;0;0;-448,2593994;0;0;0,000156684;1302;26
Pangan;Kacang Hijau;Sulawesi Tenggara;2026;9,49;277,6666667;1;0,506440493;204,8590584;-306,6873779;-306,6873779;30911,66667;46398,11111;1845,111111;31374,28906;1845,111111;1,4965948;0,044838335;98;1
Pangan;Kacang Hijau;Sulawesi Utara;2026;11,99666667;150,6666667;1;0,506440493;210,9255256;244,0403442;244,0403442;38,33333333;71,55555556;521,2222222;-835,9613647;521,2222222;-2280,768778;0,012628158;364;8
Pangan;Kacang Hijau;Sumatera Barat;2026;9,709319728;167,6666667;1;0,506440493;142,3058425;-994,4277954;-994,4277954;40,33333333;682,6666667;78,66666667;-438,7529602;78,66666667;-1187,817257;0,001933585;870;15
Pangan;Kacang Hijau;Sumatera Selatan;2026;7,522386831;217;1;0,506440493;181,4165333;-466,0048218;-466,0048218;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Kacang Hijau;Sumatera Utara;2026;9,248535454;1109,666667;1;0,506440493;1233,506038;2289,734375;2289,734375;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Kacang Tanah;Aceh;2026;15,10170604;983;2;0,46112208;1144,61811;474,390625;474,390625;5878,333333;2684,444444;2698,222222;7349,95459;2698,222222;25,03466838;0,062694067;72;3
Pangan;Kacang Tanah;Bali;2026;11,98534459;3080;2;0,46112208;3170,106797;3468,702637;3468,702637;1610;1407,333333;1557,888889;-825,0805664;1557,888889;-151,2472401;0,036999346;123;10
Pangan;Kacang Tanah;Banten;2026;10,8453837;2002,333333;2;0,46112208;2165,798866;3340,090088;3340,090088;454;845,2222222;828,2222222;-671,8550415;828,2222222;-247,985692;0,019949679;241;17
Pangan;Kacang Tanah;Bengkulu;2026;11,88828786;1029;2;0,46112208;1065,539877;359,6541138;359,6541138;76,33333333;503,7777778;261,4444444;-841,2077637;261,4444444;-1202,018904;0,006368375;536;24
Pangan;Kacang Tanah;Daerah Istimewa Yogyakarta;2026;10,90049732;55225,66667;1;0,46112208;62472,51692;64349,57813;64349,57813;0;0;0;-514,9988403;0;0;0,000153554;1312;30
Pangan;Kacang Tanah;Daerah Khusus Ibukota Jakarta;2026;0;0;3;0,46112208;0;-358,8416748;-358,8416748;21739,66667;46001,77778;657,4444444;22784,9707;657,4444444;4,808279963;0,018493701;258;4
Pangan;Kacang Tanah;Gorontalo;2026;11,20592593;165;2;0,46112208;222,8239929;-388,0550232;-388,0550232;9265;37728,33333;395,7777778;8254,992188;395,7777778;-10,90132555;0,012275446;370;11
Pangan;Kacang Tanah;Jambi;2026;16,4461593;747,6666667;2;0,46112208;1154,984661;14,05539227;14,05539227;5786,333333;33954,55556;265,7777778;6839,300293;265,7777778;18,19748188;0,009427202;430;18
Pangan;Kacang Tanah;Jawa Barat;2026;15,94763967;17574;2;0,46112208;28064,14006;31830,61133;31830,61133;2851;15773,22222;281,3333333;4049,115479;281,3333333;42,0243942;0,007563983;488;25
