subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;produktivitas;luas_panen;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;pertumbuhan_produksi_2026;prediksi_produktivitas_2026
Perkebunan;Aren;Maluku;2026;1;0,326568799;618,2756667;23,44444444;30,88888889;-10,31492996;30,88888889;-101,6683383;0,001915401;1229;29;28,94888889;201,1177778;1063,577963;-3718,66333;3718,66333;-438,6997268;28,94888889
Perkebunan;Aren;Maluku Utara;2026;1;0,326568799;662,179;1869,222222;1977,333333;16980,78516;1977,333333;2464,379897;0,050990241;131;6;26,84555556;228,4666667;457,0681778;-4058,685547;4058,685547;-1223,354015;26,84555556
Perkebunan;Aren;Nusa Tenggara Barat;2026;2;0,326568799;191219,607;1192;602,2222222;40340,60547;602,2222222;-78,90352035;0,019200043;317;19;108,45;17278,45111;10493,20397;11423,69531;11423,69531;222,679254;108,45
Perkebunan;Aren;Nusa Tenggara Timur;2026;1;0,326568799;9032,732;181,7777778;166,2222222;21364,25;166,2222222;136,5203573;0,004942802;732;26;67,66;1407,49;3956,298814;5310,151367;5310,151367;42,19166088;67,66
Perkebunan;Aren;Papua;2026;1;0,326568799;323,0506667;0;0;3391,856445;0;949,9456572;0,001784228;1320;30;49,61;69,83333333;10452,10378;-419,0065613;419,0065613;-136,3991334;49,61
Perkebunan;Aren;Papua Barat;2026;1;0,326568799;203,5196667;0;0;570,178772;0;180,1590536;0,001736689;1405;32;15,93333333;150,8477778;760,4898122;-1920,168579;1920,168579;-212,5387377;15,93333333
Perkebunan;Aren;Riau;2026;1;0,326568799;254,5183333;79,66666667;1480,222222;27574,05664;1480,222222;10733,81943;0,038591938;169;11;50,36888889;56,31444444;784,4985967;2000,863403;2000,863403;8849,739392;50,36888889
Perkebunan;Aren;Sulawesi Barat;2026;1;0,326568799;901,9033333;1390,555556;881,6666667;7763,400391;881,6666667;760,7796538;0,023314729;268;16;18,93444444;506,5666667;1178,153936;-1858,099731;1858,099731;-13570,99854;18,93444444
Perkebunan;Aren;Sulawesi Selatan;2026;2;0,326568799;203922,787;4780,777778;1805,777778;81343,67969;1805,777778;-60,11054925;0,048295316;136;9;124,4222222;17193,17;13311,16904;20517,07422;20517,07422;271,9435453;124,4222222
Perkebunan;Aren;Sulawesi Tengah;2026;2;0,326568799;3306,651;661,1111111;196,6666667;9304,366211;196,6666667;181,3833758;0,005588144;679;25;56,98;576,6422222;688,0268844;-820,6947632;820,6947632;-168,2315306;56,98
